,World Rank,University Name,City,Country,Overall Score,Academic Reputation,Employer Reputation,Citations per Faculty,Faculty Students Ratio,International Students Ratio,International Faculty Ratio,International Research Network,Employment Outcomes,Total students count,UG student % (Domestic),PG student % (Domestic),International students count,UG student % (International),PG student % (International),Total faculty staff count,Domestic staff %,International staff %
343,343,"Birkbeck, University of London",London,United Kingdom,31.4,11.2,3.2,70.1,13.1,98.1,97.5,50.5,8.6,8519,63.0,37.0,3445,65.0,35.0,582,57.0,43.0
344,343,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Barcelona,Spain,31.4,32.5,25.8,24.7,45.1,21.8,12.7,89.2,18.9,23289,76.0,24.0,2976,38.0,62.0,2473,92.0,8.0
345,345,MGIMO University,Moscow,Russia,31.3,12.5,24.6,1.4,100.0,52.4,15.8,1.5,93.9,7186,74.0,26.0,1501,73.0,27.0,1728,91.0,9.0
346,346,Ewha Womans University,Seoul,South Korea,31.2,23.4,22.2,9.1,79.4,27.3,8.3,33.2,15.8,17013,78.0,22.0,2462,79.0,21.0,2405,94.0,6.0
347,347,IE University,Segovia,Spain,31.1,6.7,47.6,2.6,66.6,100.0,92.9,6.0,67.9,6037,68.0,32.0,4741,65.0,35.0,687,63.0,37.0
348,347,University of Jyväskylä,Jyväskylä,Finland,31.1,16.9,15.4,19.3,83.6,3.1,39.1,79.0,6.3,10666,54.0,46.0,330,5.0,95.0,1570,83.0,17.0
349,347,University of Southern Denmark (SDU),Odense,Denmark,31.1,19.3,20.6,44.5,35.2,22.7,82.4,82.5,21.1,18561,59.0,41.0,2427,38.0,62.0,1792,69.0,31.0
350,350,Johannes Kepler University Linz,Linz,Austria,31.0,11.4,11.0,20.0,79.5,22.4,84.2,62.7,21.1,6068,61.0,39.0,787,53.0,47.0,934,68.0,32.0
351,350,University of Connecticut,Storrs,United States,31.0,15.5,10.7,82.8,11.5,24.4,69.0,86.9,35.5,24780,74.0,26.0,3372,54.0,46.0,1328,73.0,27.0
352,352,Norwegian University of Science And Technology,Trondheim,Norway,30.9,33.9,27.0,25.1,25.5,11.4,76.6,95.8,47.9,37723,42.0,58.0,3314,11.0,89.0,3248,71.0,29.0
353,352,Universität Jena,Jena,Germany,30.9,18.4,3.3,9.2,99.9,24.0,0.0,87.7,8.1,17124,,,2307,,,3974,,
354,354,University of Dundee,Dundee,United Kingdom,30.8,18.9,15.0,30.1,35.5,69.8,99.0,57.9,99.0,14302,78.0,22.0,3629,61.0,39.0,953,49.0,51.0
355,355,Beijing Institute of Technology,Beijing,China,30.7,20.7,15.0,64.3,37.7,4.7,3.4,63.4,14.5,0,47.0,53.0,2115,52.0,48.0,0,,67.0
356,355,"City, University of London",London,United Kingdom,30.7,20.6,18.7,44.3,8.6,99.5,97.3,67.6,42.3,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
357,355,Universität Stuttgart,Stuttgart,Germany,30.7,24.1,24.2,65.8,5.7,47.3,36.7,80.9,28.3,15138,53.0,47.0,2977,30.0,70.0,912,83.0,17.0
358,358,"University of Chemistry and Technology, Prague",Prague,Czechia,30.6,6.5,7.9,13.0,99.7,61.2,28.3,35.2,44.1,4061,49.0,51.0,938,45.0,55.0,862,85.0,15.0
359,359,ITMO University,St. Petersburg,Russia,30.5,11.9,15.5,7.3,96.2,42.8,23.1,61.7,4.2,10902,50.0,50.0,2005,41.0,59.0,1981,88.0,12.0
360,359,University of Victoria (UVic),Victoria,Canada,30.5,17.1,9.8,71.9,3.6,58.2,91.2,63.8,10.4,18715,87.0,13.0,3686,75.0,25.0,851,64.0,36.0
361,361,Universiti Teknologi PETRONAS (UTP),Seri Iskandar,Malaysia,30.4,16.4,29.8,46.0,31.8,18.4,85.2,65.5,10.6,4570,81.0,19.0,531,27.0,73.0,484,67.0,33.0
362,362,George Washington University,Washington D.C.,United States,30.3,27.2,29.0,32.6,31.3,32.1,39.2,86.1,66.6,20290,51.0,49.0,3197,40.0,60.0,1877,83.0,17.0
363,363,Kobe University,Kobe City,Japan,30.2,27.3,35.9,9.3,64.1,9.2,8.6,45.1,12.9,15476,72.0,28.0,1184,14.0,86.0,2154,94.0,6.0
364,363,Pontificia Universidad Catolica del Peru,Lima,Peru,30.2,43.8,63.2,1.8,27.7,1.5,4.3,34.5,48.9,25652,79.0,21.0,245,18.0,82.0,2369,97.0,3.0
365,363,Quaid-i-Azam University,Islamabad,Pakistan,30.2,15.4,38.4,95.8,2.6,2.6,3.8,59.2,16.6,9565,63.0,37.0,234,91.0,9.0,519,97.0,3.0
366,363,University of South Australia,Adelaide,Australia,30.2,21.7,12.7,38.2,20.8,65.2,99.9,76.0,99.9,19189,83.0,17.0,4629,56.0,44.0,1538,51.0,49.0
367,363,Virginia Polytechnic Institute and State University,Blacksburg,United States,30.2,28.5,25.6,38.5,20.0,18.5,68.4,84.1,28.5,34860,84.0,16.0,4064,55.0,45.0,2759,74.0,26.0
368,368,Lincoln University,Lincoln,New Zealand,30.1,7.5,5.9,39.1,43.7,95.5,100.0,20.8,100.0,2118,63.0,37.0,676,33.0,67.0,222,44.0,56.0
369,369,Airlangga University,Surabaya,Indonesia,29.9,30.8,60.9,1.3,48.3,3.0,26.0,14.5,10.0,28701,70.0,30.0,850,58.0,42.0,3472,79.0,21.0
370,369,American University of Sharjah,Sharjah,United Arab Emirates,29.9,18.7,35.8,17.3,26.2,100.0,100.0,30.2,79.3,4276,94.0,6.0,3199,94.0,6.0,371,1.0,99.0
371,369,Indian Institute of Technology Roorkee (IITR),Roorkee,India,29.9,16.0,23.9,94.5,9.6,2.5,1.1,35.6,18.4,8254,55.0,45.0,217,0.0,100.0,506,100.0,0.0
372,369,Umea University,Umeå,Sweden,29.9,20.0,11.5,17.0,77.1,10.6,25.7,82.4,6.2,14358,67.0,33.0,1214,49.0,51.0,1966,87.0,13.0
373,369,Universidade Nova de Lisboa,Lisbon,Portugal,29.9,28.7,20.5,35.0,25.0,60.8,23.6,88.4,22.1,20996,48.0,52.0,4827,36.0,64.0,1795,88.0,12.0
374,369,University of Kansas,Lawrence,United States,29.9,14.9,16.1,11.2,80.5,8.2,68.9,80.9,23.1,23459,74.0,26.0,1654,50.0,50.0,3349,71.0,29.0
375,375,Ulm University,Ulm,Germany,29.8,7.6,3.2,34.4,80.6,23.0,42.7,60.7,7.5,10301,62.0,38.0,1356,46.0,54.0,1473,82.0,18.0
376,375,"University of California, Santa Cruz",Santa Cruz,United States,29.8,18.6,5.0,81.4,8.0,13.4,63.5,60.5,15.4,18881,90.0,10.0,1830,71.0,29.0,1126,76.0,24.0
377,375,University of Kent,Canterbury,United Kingdom,29.8,18.2,6.4,50.7,16.6,68.4,96.7,69.5,32.7,17211,84.0,16.0,4553,71.0,29.0,1123,59.0,41.0
378,378,Czech Technical University in Prague,Prague,Czechia,29.7,19.9,33.2,4.9,68.9,47.3,23.7,75.0,8.7,15295,67.0,33.0,3006,66.0,34.0,2670,88.0,12.0
379,378,Nankai University,Tianjin,China,29.7,21.2,5.0,70.5,28.7,3.7,11.0,39.1,24.2,32034,55.0,45.0,1191,69.0,31.0,2873,93.0,7.0
380,380,Sharif University of Technology,Tehran,Iran,29.6,11.6,31.8,98.3,7.7,1.3,8.0,52.3,82.0,9451,51.0,49.0,53,40.0,60.0,489,94.0,6.0
381,380,University of Hawaiʻi at Mānoa,Honolulu,United States,29.6,15.6,14.3,46.1,45.4,14.2,55.4,84.8,10.2,14936,77.0,23.0,1493,61.0,39.0,1586,78.0,22.0
382,382,Peter the Great St. Petersburg Polytechnic University,St. Petersburg,Russia,29.5,15.0,10.4,3.7,81.4,89.3,16.4,45.4,18.7,16222,72.0,28.0,5263,76.0,24.0,2337,90.0,10.0
383,382,Pontificia Universidad Javeriana,Bogotá,Colombia,29.5,41.0,82.4,1.8,20.1,1.9,4.9,27.6,37.2,28762,80.0,20.0,447,60.0,40.0,2954,96.0,4.0
384,384,Indian Institute of Technology Guwahati (IITG),Guwahati,India,29.3,15.1,16.9,96.3,9.5,1.3,3.4,36.6,23.5,7001,47.0,53.0,42,0.0,100.0,410,98.0,2.0
385,384,Sultan Qaboos University,Muscat,Oman,29.3,15.0,16.9,14.3,67.3,3.7,100.0,86.8,63.4,7436,84.0,16.0,278,46.0,54.0,864,45.0,55.0
386,384,Taipei Medical University (TMU),Taipei,Taiwan,29.3,9.7,17.0,17.0,92.3,16.1,18.1,24.0,26.5,5788,48.0,52.0,623,24.0,76.0,949,90.0,10.0
387,384,University of Münster,Munster,Germany,29.3,33.1,22.2,13.6,46.3,5.3,29.1,83.1,19.3,26243,54.0,46.0,1334,39.0,61.0,4347,86.0,14.0
388,388,Lappeenranta-Lahti University of Technology LUT,Lappeenranta,Finland,29.2,7.0,18.1,96.8,13.5,11.3,35.4,55.2,11.3,4437,41.0,59.0,387,4.0,96.0,297,84.0,16.0
389,388,Northeastern University,Boston,United States,29.2,20.5,12.5,37.1,17.8,95.8,76.0,75.6,46.2,26442,59.0,41.0,9822,27.0,73.0,1909,71.0,29.0
390,390,Pakistan Institute of Engineering and Applied Sciences (PIEAS),Islamabad,Pakistan,29.1,5.2,8.2,44.1,86.4,0.0,0.0,23.4,91.2,1371,65.0,35.0,2,0.0,100.0,167,,
391,390,Universidad de Palermo (UP),Buenos Aires,Argentina,29.1,9.7,9.9,1.1,87.8,96.7,29.4,4.0,11.8,4947,90.0,10.0,1892,83.0,17.0,763,86.0,14.0
392,392,Chung-Ang University (CAU),Seoul,South Korea,29.0,16.7,35.3,8.6,72.4,34.7,13.9,33.0,12.8,20018,83.0,17.0,3299,68.0,32.0,2662,91.0,9.0
393,392,Tokyo Medical and Dental University (TMDU),Tokyo,Japan,29.0,10.6,4.8,15.8,100.0,16.6,3.2,24.7,6.4,3001,49.0,51.0,329,5.0,95.0,938,98.0,2.0
394,392,University of Oulu,Oulu,Finland,29.0,15.6,22.6,55.6,30.0,7.5,56.8,84.4,24.6,10134,52.0,48.0,672,25.0,75.0,924,78.0,22.0
395,392,University of Utah,Salt Lake City,United States,29.0,16.5,7.6,38.0,62.5,9.2,18.9,82.2,15.2,27572,74.0,26.0,2109,55.0,45.0,3382,89.0,11.0
396,396,Indian Institute of Technology Indore,Indore,India,28.7,4.7,4.3,88.7,42.1,0.0,2.5,23.8,37.2,1816,64.0,36.0,3,0.0,100.0,188,98.0,2.0
397,396,Shandong University,Jinan,China,28.7,13.8,32.8,76.4,19.2,3.8,9.8,59.4,17.7,43644,59.0,41.0,1637,64.0,36.0,3406,93.0,7.0
398,398,National Research Tomsk Polytechnic University,Russia,Russia,28.6,9.4,7.8,5.3,91.9,80.6,8.9,78.0,4.5,9537,54.0,46.0,2744,54.0,46.0,1674,94.0,6.0
399,398,Tilburg University,Tilburg,Netherlands,28.6,14.8,30.7,50.1,10.6,52.0,95.3,51.9,10.6,13247,61.0,39.0,2756,60.0,40.0,792,60.0,40.0
400,400,Universitat Politecnica de Valencia,València,Spain,28.4,26.0,10.2,17.6,60.3,20.8,4.8,84.6,4.8,23606,74.0,26.0,2936,34.0,66.0,2049,97.0,3.0
401,400,Vilnius University,Vilnius,Lithuania,28.4,20.0,27.5,3.1,79.8,9.1,10.4,74.3,52.4,19703,79.0,21.0,1496,71.0,29.0,2795,93.0,7.0
402,402,"El Colegio de México, A.C.",Mexico City,Mexico,28.3,14.9,3.9,1.5,100.0,19.8,10.1,1.7,99.6,471,32.0,68.0,57,37.0,63.0,254,93.0,7.0
403,402,Royal Holloway University of London,Egham,United Kingdom,28.3,16.8,7.5,42.5,15.8,86.9,94.3,64.7,11.5,11516,80.0,20.0,3571,70.0,30.0,815,61.0,39.0
404,404,University of Pisa,Pisa,Italy,28.2,40.6,14.7,41.7,7.0,4.6,6.6,90.8,12.1,33349,63.0,37.0,1523,60.0,40.0,1814,95.0,5.0
405,405,Satbayev University,Almaty,Kazakhstan,28.1,18.7,28.9,1.3,79.7,4.1,22.8,12.0,13.7,10533,87.0,13.0,434,95.0,5.0,1585,80.0,20.0
406,406,Sichuan University,Chengdu,China,28.0,18.2,4.0,83.5,14.6,5.8,5.9,69.2,18.6,49543,58.0,42.0,2714,75.0,25.0,3173,96.0,4.0
407,406,South China University of Technology,Guangzhou,China,28.0,10.7,3.5,93.7,18.6,4.6,10.5,65.1,28.9,40049,62.0,38.0,1809,71.0,29.0,3164,93.0,7.0
408,408,Colorado State University,Fort Collins,United States,27.9,19.1,19.2,20.8,63.5,5.3,21.2,77.9,19.8,24060,86.0,14.0,1233,56.0,44.0,3121,88.0,12.0
409,408,Technion - Israel Institute of Technology,Haifa,Israel,27.9,25.0,24.3,23.2,35.4,4.6,67.0,54.4,49.1,14124,70.0,30.0,638,19.0,81.0,2197,74.0,26.0
410,410,HUFS - Hankuk (Korea) University of Foreign Studies,Seoul,South Korea,27.8,11.3,26.0,1.6,82.3,41.3,34.0,13.0,7.8,16141,88.0,12.0,2933,81.0,19.0,2363,84.0,16.0
411,410,Julius-Maximilians-Universität Würzburg,Würzburg,Germany,27.8,16.2,4.2,85.5,4.6,10.6,43.8,77.3,2.9,23016,43.0,57.0,1922,32.0,68.0,1057,81.0,19.0
412,412,Brunel University London,London,United Kingdom,27.7,11.1,13.2,49.4,9.9,98.6,99.7,86.7,22.4,15158,76.0,24.0,6290,65.0,35.0,938,52.0,48.0
413,412,University of Johannesburg,Johannesburg,South Africa,27.7,15.2,21.5,18.3,40.3,58.4,94.3,88.1,38.9,19333,85.0,15.0,4327,66.0,34.0,1964,61.0,39.0
414,412,University of the Philippines,Quezon City,Philippines,27.7,32.4,47.6,1.8,46.8,1.3,2.1,41.1,46.4,43964,79.0,21.0,230,27.0,73.0,4739,99.0,1.0
415,415,Tampere University,Tampere,Finland,27.6,23.7,27.7,37.8,27.7,6.9,36.3,84.3,5.8,15855,51.0,49.0,996,10.0,90.0,1404,84.0,16.0
416,416,Ruhr-Universität Bochum,Bochum,Germany,27.5,21.4,8.9,72.6,2.2,28.5,29.7,84.8,12.5,42262,69.0,31.0,6252,57.0,43.0,1276,86.0,14.0
417,416,"Stony Brook University, State University of New York",Stony Brook,United States,27.5,19.3,9.8,34.7,31.7,60.2,47.5,79.1,24.5,24982,74.0,26.0,5706,65.0,35.0,2322,80.0,20.0
418,416,The American University in Cairo,Cairo,Egypt,27.5,28.3,20.2,4.1,40.8,4.3,96.1,21.9,92.5,5915,89.0,11.0,254,60.0,40.0,631,57.0,43.0
419,416,University of Naples - Federico II,Naples,Italy,27.5,34.2,14.8,55.4,4.8,1.1,2.6,91.3,17.0,49485,55.0,45.0,128,9.0,91.0,2299,98.0,2.0
420,420,Johannes Gutenberg Universität Mainz,Mainz,Germany,27.4,21.3,15.6,17.4,54.4,17.9,39.3,92.5,11.2,30753,51.0,49.0,3518,43.0,57.0,3533,83.0,17.0
421,420,Universität Leipzig,Leipzig,Germany,27.4,26.0,6.6,9.9,66.6,17.1,0.0,85.9,13.5,28447,,,3174,,,4119,,
422,422,National Technical University of Athens,Athens,Greece,27.3,18.7,45.7,67.9,5.3,7.5,1.4,68.9,68.0,13624,76.0,24.0,907,91.0,9.0,662,100.0,0.0
423,422,Shanghai University,Shanghai,China,27.3,21.1,8.5,22.3,54.2,7.0,44.3,56.0,13.0,35968,55.0,45.0,2268,59.0,41.0,4285,81.0,19.0
424,422,Xiamen University,Xiamen,China,27.3,23.9,8.8,59.3,21.8,3.8,6.1,61.6,23.7,38121,51.0,49.0,1443,55.0,45.0,3106,96.0,4.0
425,425,Flinders University,Adelaide,Australia,27.2,12.1,7.0,53.5,6.3,93.8,97.7,83.7,14.7,17266,69.0,31.0,6105,53.0,47.0,935,57.0,43.0
426,425,Swansea University,Swansea,United Kingdom,27.2,18.5,33.7,24.4,25.9,52.8,72.8,83.2,7.3,18682,84.0,16.0,3922,72.0,28.0,1584,73.0,27.0
427,425,University at Buffalo SUNY,Buffalo,United States,27.2,17.7,10.6,57.9,7.2,42.7,76.0,70.9,35.5,29441,72.0,28.0,5367,46.0,54.0,1546,71.0,29.0
428,428,National Sun Yat-sen University,Kaohsiung City,Taiwan,27.1,25.3,24.9,27.3,36.7,10.6,20.6,31.2,7.5,7991,56.0,44.0,669,39.0,61.0,784,89.0,11.0
429,428,"University of Colorado, Denver",Denver,United States,27.1,7.9,8.2,11.6,100.0,10.0,4.0,75.4,4.6,15786,63.0,37.0,1274,69.0,31.0,5319,97.0,3.0
430,428,University of Science and Technology Beijing,Beijing,China,27.1,13.1,3.4,93.2,11.8,3.4,3.7,56.2,4.6,24368,55.0,45.0,818,43.0,57.0,1605,97.0,3.0
431,428,University of Witwatersrand,Johannesburg,South Africa,27.1,25.1,38.9,30.5,12.3,9.1,80.8,91.4,89.2,24985,84.0,16.0,1889,52.0,48.0,1673,69.0,31.0
432,432,Universidad Austral,Pilar,Argentina,27.0,17.5,32.7,1.8,77.9,9.5,2.7,3.6,11.5,4928,75.0,25.0,384,67.0,33.0,687,98.0,2.0
433,433,Université Laval,Québec,Canada,26.9,20.0,17.8,27.6,32.0,33.5,67.4,84.6,17.0,24675,72.0,28.0,3992,30.0,70.0,2302,74.0,26.0
434,434,Far Eastern Federal University,Vladivostok,Russia,26.8,8.4,3.4,1.9,93.2,63.4,15.4,40.5,11.6,13931,59.0,41.0,3297,66.0,34.0,2467,91.0,9.0
435,434,Université de Strasbourg,Strasbourg,France,26.8,40.7,6.8,24.9,5.1,37.4,37.3,86.6,11.2,52972,57.0,43.0,9111,53.0,47.0,2544,83.0,17.0
436,436,National Taipei University of Technology,Taipei City,Taiwan,26.6,15.2,58.2,32.2,28.9,24.6,23.2,24.3,25.1,7919,58.0,42.0,1082,60.0,40.0,712,88.0,12.0
437,436,Università Vita-Salute San Raffaele,Milan,Italy,26.6,3.0,1.4,22.7,99.7,4.9,8.7,35.7,9.5,2642,65.0,35.0,127,76.0,24.0,654,94.0,6.0
438,438,Oxford Brookes University,Oxford,United Kingdom,26.5,27.0,41.4,9.2,13.0,71.9,67.3,52.1,32.7,14975,81.0,19.0,3890,66.0,34.0,1022,74.0,26.0
439,438,University of Coimbra,Coimbra,Portugal,26.5,30.1,13.8,38.6,14.5,33.7,12.3,86.3,12.3,22937,41.0,59.0,3608,33.0,67.0,1627,92.0,8.0
440,438,Wake Forest University,Winston-Salem,United States,26.5,5.4,7.3,12.6,100.0,12.9,6.0,50.8,43.0,8296,65.0,35.0,785,63.0,37.0,2269,96.0,4.0
441,441,Universidade Federal de São Paulo,São Paulo,Brazil,26.4,11.3,4.8,6.6,98.2,1.5,5.6,45.3,3.1,14415,63.0,37.0,139,41.0,59.0,2727,96.0,4.0
442,441,Universität des Saarlandes,Saarbrücken,Germany,26.4,10.2,7.5,9.0,86.8,41.0,5.5,80.3,23.6,16241,,,2939,,,2823,,
443,443,Amirkabir University of Technology,Tehran,Iran,26.3,5.0,23.4,99.6,4.9,2.4,15.7,62.6,39.9,10673,48.0,52.0,235,59.0,41.0,504,91.0,9.0
444,443,Auezov South Kazakhstan University (SKU),Shymkent,Kazakhstan,26.3,11.8,13.7,1.0,90.5,21.3,15.0,2.7,10.8,18760,88.0,12.0,2369,99.0,1.0,2993,91.0,9.0
445,443,Beihang University (former BUAA),Beijing,China,26.3,13.1,4.4,67.8,31.0,5.5,8.3,52.1,13.8,0,52.0,48.0,1575,41.0,59.0,0,,145.0
446,443,Illinois Institute of Technology,Chicago,United States,26.3,14.8,8.2,52.9,14.7,95.0,23.7,31.3,22.8,5437,53.0,47.0,1783,24.0,76.0,387,88.0,12.0
447,443,SOAS University of London,London,United Kingdom,26.3,17.9,10.2,16.4,23.8,99.7,100.0,17.9,68.6,4864,61.0,39.0,2184,48.0,52.0,373,44.0,56.0
448,443,Washington State University,Pullman,United States,26.3,25.5,24.4,36.2,15.3,6.4,57.4,78.7,13.3,26520,84.0,16.0,1569,50.0,50.0,1916,77.0,23.0
449,449,Bogor Agricultural University,Bogor,Indonesia,26.2,19.6,28.5,1.7,60.7,3.3,54.6,21.6,11.6,23048,77.0,23.0,745,80.0,20.0,3246,78.0,22.0
450,449,Hasselt University,Diepenbeek,Belgium,26.2,4.7,3.8,16.6,78.8,25.3,68.6,74.1,11.7,5683,61.0,39.0,788,20.0,80.0,799,74.0,26.0
451,449,Umm Al-Qura University,Makkah,Saudi Arabia,26.2,16.9,10.5,1.9,59.8,19.3,100.0,35.1,3.9,30207,90.0,10.0,3608,87.0,13.0,3627,50.0,50.0
452,449,Universidad de Montevideo (UM),Montevideo,Uruguay,26.2,16.6,19.8,1.1,78.9,3.6,26.1,1.8,87.6,2097,83.0,17.0,76,92.0,8.0,295,87.0,13.0
453,453,"University of California, Riverside",Riverside,United States,26.1,17.8,8.5,61.8,8.0,9.4,72.0,76.0,11.6,25735,86.0,14.0,1994,40.0,60.0,1471,76.0,24.0
454,454,Stellenbosch University,Stellenbosch,South Africa,26.0,24.5,35.7,51.2,3.6,9.1,21.5,86.6,53.8,23745,73.0,27.0,3022,38.0,62.0,949,88.0,12.0
455,454,University of Tromsø The Arctic University of Norway,Tromsø,Norway,26.0,12.4,3.9,9.3,73.2,8.5,71.2,77.1,22.9,15746,65.0,35.0,1288,56.0,44.0,2107,73.0,27.0
456,456,York University,Toronto,Canada,25.9,22.6,31.3,28.2,6.1,82.1,52.0,60.8,48.7,43324,89.0,11.0,12687,86.0,14.0,1531,78.0,22.0
457,457,Institut National des Sciences Appliquées de Lyon (INSA),Lyon,France,25.7,7.5,31.7,32.3,37.8,79.0,29.0,81.0,28.2,6367,46.0,54.0,1795,37.0,63.0,632,86.0,14.0
458,457,Sogang University,Seoul,South Korea,25.7,18.1,44.5,6.3,51.6,36.2,9.8,13.8,30.3,9388,75.0,25.0,1586,74.0,26.0,1161,93.0,7.0
459,457,University of Trento,Trento,Italy,25.7,24.6,9.4,46.6,18.0,6.1,31.8,85.8,7.2,13900,53.0,47.0,794,27.0,73.0,1132,85.0,15.0
460,460,University of Florence,Florence,Italy,25.6,32.5,6.3,47.4,5.2,17.0,10.3,90.4,12.4,37287,59.0,41.0,4151,59.0,41.0,1803,93.0,7.0
461,461,James Cook University,Townsville,Australia,25.5,13.9,10.2,63.3,11.9,19.5,55.7,79.6,55.7,8228,83.0,17.0,861,45.0,55.0,819,82.0,18.0
462,461,Rensselaer Polytechnic Institute,Troy,United States,25.5,8.4,6.5,70.5,21.0,48.9,12.2,41.0,57.3,7427,84.0,16.0,1490,67.0,33.0,567,90.0,10.0
463,461,Southeast University,Nanjing,China,25.5,11.1,6.0,68.7,29.5,3.9,10.4,62.1,5.2,37706,44.0,56.0,1460,42.0,58.0,3417,93.0,7.0
464,461,Universidad de Belgrano,Buenos Aires,Argentina,25.5,9.4,17.4,1.0,89.8,28.4,6.4,0.0,6.5,5126,95.0,5.0,800,99.0,1.0,810,95.0,5.0
465,465,"Essex, University of",Colchester,United Kingdom,25.4,16.2,8.0,28.1,12.3,98.3,99.7,71.8,12.8,16133,81.0,19.0,6578,74.0,26.0,1082,52.0,48.0
466,465,Universidad de Santiago de Chile (USACH),Santiago,Chile,25.4,41.0,58.1,4.9,8.3,2.4,7.0,46.6,4.4,22927,95.0,5.0,503,81.0,19.0,1334,95.0,5.0
467,467,The National University of Science and Technology MISIS,Moscow,Russia,25.3,8.2,9.9,13.7,74.2,53.4,12.2,45.6,7.5,7250,58.0,42.0,1533,28.0,72.0,995,92.0,8.0
468,467,Universidad de La Habana,Havana,Cuba,25.3,20.3,25.5,1.6,69.4,4.5,1.9,25.6,55.6,13471,86.0,14.0,597,39.0,61.0,1871,99.0,1.0
469,467,University of Alaska Fairbanks,Fairbanks,United States,25.3,3.1,3.7,16.2,99.6,3.4,5.6,44.5,8.3,3559,84.0,16.0,119,44.0,56.0,745,96.0,4.0
470,467,University of Iowa,Iowa City,United States,25.3,20.7,13.3,24.4,48.2,5.9,15.8,81.3,30.6,26717,78.0,22.0,1488,52.0,48.0,2914,91.0,9.0
471,471,Dublin City University,Dublin,Ireland,25.2,19.1,32.4,16.4,31.3,16.2,76.4,73.5,50.3,14164,82.0,18.0,1530,48.0,52.0,1311,71.0,29.0
472,471,Tulane University,New Orleans,United States,25.2,9.5,4.2,11.4,86.7,10.9,13.7,74.9,44.1,12074,67.0,33.0,1030,43.0,57.0,1838,92.0,8.0
473,473,University of Cyprus (UCY),Nicosia,Cyprus,25.1,9.0,3.1,71.7,5.1,27.4,87.6,84.2,57.4,7085,73.0,27.0,1026,66.0,34.0,340,63.0,37.0
474,473,University of Saskatchewan,Saskatoon,Canada,25.1,12.0,11.7,42.5,21.9,52.3,69.9,83.5,24.9,16651,81.0,19.0,3476,54.0,46.0,1359,74.0,26.0
475,475,Chang Gung University,Taoyuan City,Taiwan,25.0,4.8,4.9,40.5,69.4,5.2,4.3,26.3,8.6,6890,75.0,25.0,348,49.0,51.0,916,97.0,3.0
476,475,University of Turin,Turin,Italy,25.0,37.5,6.5,39.8,3.3,6.6,5.2,86.5,23.0,59522,63.0,37.0,3605,68.0,32.0,2310,96.0,4.0
477,477,Imam Abdulrahman Bin Faisal University (IAU),Dammam,Saudi Arabia,24.9,5.8,3.7,2.0,81.8,9.2,97.6,49.6,4.5,23781,96.0,4.0,2625,95.0,5.0,3824,56.0,44.0
478,477,Koç University,Istanbul,Turkey,24.9,20.4,36.3,23.4,31.2,10.6,30.3,42.6,24.0,6341,80.0,20.0,531,48.0,52.0,521,85.0,15.0
479,477,Martin-Luther-Universität Halle-Wittenberg,Halle,Germany,24.9,14.6,4.5,5.7,83.9,10.7,0.0,83.6,17.2,19913,,,1682,,,2942,,
480,477,UNESP,Sao Paulo,Brazil,24.9,37.0,23.5,16.8,19.1,2.3,6.1,74.8,2.8,42008,79.0,21.0,892,55.0,45.0,2699,96.0,4.0
481,481,Bond University,Gold Coast,Australia,24.8,4.4,6.3,16.4,45.8,98.9,98.3,15.3,98.3,3069,54.0,46.0,1302,29.0,71.0,328,56.0,44.0
482,481,Dongguk University,Seoul,South Korea,24.8,8.5,9.9,7.6,85.8,21.6,10.2,41.8,7.6,17578,87.0,13.0,2235,61.0,39.0,2657,93.0,7.0
483,481,Iowa State University,Ames,United States,24.8,19.4,13.9,65.8,7.9,10.3,6.0,85.1,31.0,29458,84.0,16.0,2421,37.0,63.0,1558,96.0,4.0
484,481,Kazakh National Agrarian University KazNAU,Almaty,Kazakhstan,24.8,14.7,13.8,1.1,73.5,19.9,29.2,5.8,15.8,8192,88.0,12.0,994,87.0,13.0,1216,86.0,14.0
485,481,Universiti Utara Malaysia (UUM),Sintok,Malaysia,24.8,19.4,23.3,6.1,42.6,76.0,20.3,23.7,6.5,12501,82.0,18.0,3401,47.0,53.0,1298,89.0,11.0
486,486,Auckland University of Technology (AUT),Auckland,New Zealand,24.7,19.1,14.6,17.9,9.5,99.9,100.0,53.9,100.0,18545,78.0,22.0,8926,68.0,32.0,1133,46.0,54.0
487,486,University of Klagenfurt,Klagenfurt,Austria,24.7,4.3,2.9,11.4,56.6,84.8,95.2,43.4,49.7,3459,64.0,36.0,1055,52.0,48.0,415,60.0,40.0
488,488,Ajou University,Suwon,South Korea,24.6,13.3,12.1,13.5,70.0,16.6,7.4,26.5,8.1,9113,86.0,14.0,1001,71.0,29.0,1403,95.0,5.0
489,488,Universidad Politécnica de Madrid (UPM),Madrid,Spain,24.6,30.8,50.1,10.8,17.4,27.1,3.2,77.8,44.7,32848,79.0,21.0,4734,69.0,31.0,2477,98.0,2.0
490,490,Aix-Marseille University,Marseille,France,24.5,36.0,3.5,28.8,9.1,21.8,20.0,98.1,9.9,67724,62.0,38.0,8651,40.0,60.0,4069,89.0,11.0
491,490,Ben-Gurion University of The Negev,Be'er Sheva,Israel,24.5,14.6,11.7,53.0,12.8,17.3,66.2,68.3,12.7,15630,64.0,36.0,1755,57.0,43.0,1060,75.0,25.0
